Path	Sample Name	Tissue Category	Phenotype	Cell ID	Total Cells	Tissue Category Area (pixels)	Cell Density (per megapixel)	Cell X Position	Cell Y Position	Process Region ID	Distance from Process Region Edge (pixels)	Category Region ID	Distance from Tissue Category Edge (pixels)	Nucleus Area (pixels)	Nucleus Area (percent)	Nucleus Compactness	Nucleus Minor Axis	Nucleus Major Axis	Nucleus Axis Ratio	Nucleus DAPI Min (Normalized Counts, Peak Weighting)	Nucleus DAPI Mean (Normalized Counts, Peak Weighting)	Nucleus DAPI Max (Normalized Counts, Peak Weighting)	Nucleus DAPI Std Dev (Normalized Counts, Peak Weighting)	Nucleus DAPI Total (Normalized Counts, Peak Weighting)	Nucleus Opal 570 Min (Normalized Counts, Peak Weighting)	Nucleus Opal 570 Mean (Normalized Counts, Peak Weighting)	Nucleus Opal 570 Max (Normalized Counts, Peak Weighting)	Nucleus Opal 570 Std Dev (Normalized Counts, Peak Weighting)	Nucleus Opal 570 Total (Normalized Counts, Peak Weighting)	Nucleus Opal 650 Min (Normalized Counts, Peak Weighting)	Nucleus Opal 650 Mean (Normalized Counts, Peak Weighting)	Nucleus Opal 650 Max (Normalized Counts, Peak Weighting)	Nucleus Opal 650 Std Dev (Normalized Counts, Peak Weighting)	Nucleus Opal 650 Total (Normalized Counts, Peak Weighting)	Membrane Area (pixels)	Membrane Area (percent)	Membrane Compactness	Membrane Minor Axis	Membrane Major Axis	Membrane Axis Ratio	Membrane DAPI Min (Normalized Counts, Peak Weighting)	Membrane DAPI Mean (Normalized Counts, Peak Weighting)	Membrane DAPI Max (Normalized Counts, Peak Weighting)	Membrane DAPI Std Dev (Normalized Counts, Peak Weighting)	Membrane DAPI Total (Normalized Counts, Peak Weighting)	Membrane Opal 570 Min (Normalized Counts, Peak Weighting)	Membrane Opal 570 Mean (Normalized Counts, Peak Weighting)	Membrane Opal 570 Max (Normalized Counts, Peak Weighting)	Membrane Opal 570 Std Dev (Normalized Counts, Peak Weighting)	Membrane Opal 570 Total (Normalized Counts, Peak Weighting)	Membrane Opal 650 Min (Normalized Counts, Peak Weighting)	Membrane Opal 650 Mean (Normalized Counts, Peak Weighting)	Membrane Opal 650 Max (Normalized Counts, Peak Weighting)	Membrane Opal 650 Std Dev (Normalized Counts, Peak Weighting)	Membrane Opal 650 Total (Normalized Counts, Peak Weighting)	Entire Cell Area (pixels)	Entire Cell Area (percent)	Entire Cell Compactness	Entire Cell Minor Axis	Entire Cell Major Axis	Entire Cell Axis Ratio	Entire Cell DAPI Min (Normalized Counts, Peak Weighting)	Entire Cell DAPI Mean (Normalized Counts, Peak Weighting)	Entire Cell DAPI Max (Normalized Counts, Peak Weighting)	Entire Cell DAPI Std Dev (Normalized Counts, Peak Weighting)	Entire Cell DAPI Total (Normalized Counts, Peak Weighting)	Entire Cell Opal 570 Min (Normalized Counts, Peak Weighting)	Entire Cell Opal 570 Mean (Normalized Counts, Peak Weighting)	Entire Cell Opal 570 Max (Normalized Counts, Peak Weighting)	Entire Cell Opal 570 Std Dev (Normalized Counts, Peak Weighting)	Entire Cell Opal 570 Total (Normalized Counts, Peak Weighting)	Entire Cell Opal 650 Min (Normalized Counts, Peak Weighting)	Entire Cell Opal 650 Mean (Normalized Counts, Peak Weighting)	Entire Cell Opal 650 Max (Normalized Counts, Peak Weighting)	Entire Cell Opal 650 Std Dev (Normalized Counts, Peak Weighting)	Entire Cell Opal 650 Total (Normalized Counts, Peak Weighting)	Lab ID	Slide ID	TMA Sector	TMA Row	TMA Column	TMA Field	Confidence	inForm 2.4.6626.16804
W:\vectra3\HER profile for patients\completed for analysis\6th set\18SP-07900\Scan1\MSI	18SP-07900_[14542,58571].im3	tumor	others	all	382	13128512	29.10							382164	2.91%					0.185	0.952	3.667	0.363	363720.217	0.022	0.081	0.518	0.037	31057.547	0.010	0.129	1.078	0.180	49474.860	67300	0.79%					0.103	0.414	2.912	0.169	27877.966	0.015	0.092	2.938	0.053	6205.373	0.000	0.160	1.083	0.202	10801.326	449464	3.70%					0.000	0.871	3.667	0.325	391598.183	0.000	0.083	2.938	0.038	37262.920	0.000	0.134	1.083	0.183	60276.186		18SP-07900	0	0	0	0		
W:\vectra3\HER profile for patients\completed for analysis\6th set\18SP-07900\Scan1\MSI	18SP-07900_[14542,58571].im3	tumor	p95M	all	11	13128512	0.838							39108	0.30%					0.237	0.743	1.509	0.176	29038.870	0.042	0.216	0.868	0.072	8458.080	0.019	0.161	0.760	0.078	6291.801	3091	0.02%					0.112	0.289	2.221	0.069	894.682	0.039	0.377	1.269	0.196	1163.930	0.020	0.323	0.894	0.188	997.693	42199	0.32%					0.000	0.709	2.221	0.166	29933.552	0.000	0.228	1.269	0.077	9622.010	0.000	0.173	0.894	0.085	7289.493		18SP-07900	0	0	0	0		
W:\vectra3\HER profile for patients\completed for analysis\6th set\18SP-07900\Scan1\MSI	18SP-07900_[14542,58571].im3	tumor	p95MC	all	2991	13128512	227.82							3385499	25.79%					0.146	0.633	2.882	0.149	2143776.917	0.031	0.350	3.358	0.138	1184042.466	0.019	0.286	1.400	0.095	967588.746	534900	4.07%					0.094	0.295	2.427	0.081	157668.324	0.011	0.476	3.277	0.172	254600.199	0.009	0.427	1.625	0.118	228438.368	3920399	29.86%					0.000	0.587	2.882	0.134	2301445.241	0.000	0.367	3.358	0.138	1438642.665	0.000	0.305	1.625	0.095	1196027.114		18SP-07900	0	0	0	0		
W:\vectra3\HER profile for patients\completed for analysis\6th set\18SP-07900\Scan1\MSI	18SP-07900_[14542,58571].im3	tumor	WT/d16	all	2	13128512	0.15							1301	0.01%					0.461	1.326	2.766	0.914	1725.108	0.080	0.278	0.725	0.166	361.922	0.200	0.446	1.609	0.176	579.841	355	0.00%					0.242	0.661	1.934	0.091	234.608	0.065	0.324	1.401	0.261	115.126	0.259	0.572	1.625	0.166	202.922	1656	0.01%					0.000	1.183	2.766	0.725	1959.715	0.000	0.288	1.401	0.185	477.048	0.000	0.473	1.625	0.171	782.763		18SP-07900	0	0	0	0		
W:\vectra3\HER profile for patients\completed for analysis\6th set\18SP-07900\Scan1\MSI	18SP-07900_[14542,58571].im3	tumor	WT/d16/p95M	all	150	13128512	11.43							200621	1.53%					0.131	0.610	1.743	0.119	122398.969	0.045	0.341	2.682	0.122	68447.783	0.028	0.231	1.228	0.078	46436.163	28986	0.22%					0.095	0.293	2.312	0.074	8507.085	0.019	0.571	2.906	0.208	16550.737	0.015	0.384	1.109	0.106	11117.722	229607	1.75%					0.000	0.570	2.312	0.109	130906.054	0.000	0.370	2.906	0.123	84998.520	0.000	0.251	1.228	0.077	57553.884		18SP-07900	0	0	0	0		
W:\vectra3\HER profile for patients\completed for analysis\6th set\18SP-07900\Scan1\MSI	18SP-07900_[14542,58571].im3	tumor	WT/d16/p95MC	all	9	13128512	0.69							10448	0.08%					0.310	0.795	1.795	0.221	8307.289	0.069	0.199	0.873	0.132	2080.637	0.111	0.386	1.110	0.107	4037.781	1859	0.01%					0.108	0.350	2.084	0.097	650.223	0.045	0.209	0.982	0.080	387.653	0.060	0.508	1.068	0.074	943.711	12307	0.09%					0.000	0.728	2.084	0.182	8957.512	0.000	0.201	0.982	0.124	2468.290	0.000	0.405	1.110	0.096	4981.492		18SP-07900	0	0	0	0		
W:\vectra3\HER profile for patients\completed for analysis\6th set\18SP-07900\Scan1\MSI	18SP-07900_[14542,58571].im3	tumor	All	all	3545	13128512	270.02							4019141	30.61%					0.131	0.664	3.667	0.212	2668967.370	0.022	0.322	3.358	0.155	1294448.434	0.010	0.267	1.609	0.117	1074409.191	636491	4.85%					0.094	0.308	2.912	0.102	195832.887	0.011	0.438	3.277	0.206	279023.018	0.000	0.397	1.625	0.154	252501.741	4655632	35.46%					0.000	0.615	3.667	0.190	2864800.257	0.000	0.338	3.358	0.158	1573471.453	0.000	0.285	1.625	0.120	1326910.932		18SP-07900	0	0	0	0		
W:\vectra3\HER profile for patients\completed for analysis\6th set\18SP-07900\Scan1\MSI	18SP-07900_[14542,58571].im3	other	others	all	516	8536704	60.44							553630	6.49%					0.106	0.630	2.886	0.249	348698.569	0.018	0.056	1.703	0.012	30922.516	0.008	0.040	0.622	0.035	22229.927	91176	1.07%					0.096	0.252	2.748	0.093	22998.250	0.008	0.054	0.579	0.011	4907.762	0.005	0.040	0.857	0.043	3632.764	644806	7.55%					0.000	0.576	2.886	0.216	371696.819	0.000	0.056	1.703	0.011	35830.278	0.000	0.040	0.857	0.036	25862.691		18SP-07900	0	0	0	0		
W:\vectra3\HER profile for patients\completed for analysis\6th set\18SP-07900\Scan1\MSI	18SP-07900_[14542,58571].im3	other	p95M	all	2	8536704	0.23							8536	0.10%					0.280	0.553	0.916	0.013	4720.593	0.022	0.052	0.140	0.006	447.404	0.013	0.035	0.073	0.001	302.063	576	0.01%					0.142	0.283	0.617	0.010	162.850	0.036	0.061	0.112	0.005	35.378	0.016	0.036	0.059	0.002	20.570	9112	0.11%					0.000	0.536	0.916	0.015	4883.442	0.000	0.053	0.140	0.006	482.782	0.000	0.035	0.073	0.001	322.634		18SP-07900	0	0	0	0		
W:\vectra3\HER profile for patients\completed for analysis\6th set\18SP-07900\Scan1\MSI	18SP-07900_[14542,58571].im3	other	p95MC	all	8	8536704	0.94							7273	0.09%					0.261	0.466	0.899	0.080	3389.352	0.037	0.092	0.232	0.013	666.308	0.020	0.051	0.108	0.007	369.830	1409	0.02%					0.107	0.204	0.528	0.022	287.693	0.035	0.064	0.412	0.015	89.751	0.016	0.040	0.169	0.008	56.754	8682	0.10%					0.000	0.424	0.899	0.067	3677.045	0.000	0.087	0.412	0.011	756.059	0.000	0.049	0.169	0.006	426.584		18SP-07900	0	0	0	0		
