Path	Sample Name	Tissue Category	Phenotype	Cell ID	Total Cells	Tissue Category Area (pixels)	Cell Density (per megapixel)	Cell X Position	Cell Y Position	Process Region ID	Distance from Process Region Edge (pixels)	Category Region ID	Distance from Tissue Category Edge (pixels)	Nucleus Area (pixels)	Nucleus Area (percent)	Nucleus Compactness	Nucleus Minor Axis	Nucleus Major Axis	Nucleus Axis Ratio	Nucleus DAPI Min (Normalized Counts, Peak Weighting)	Nucleus DAPI Mean (Normalized Counts, Peak Weighting)	Nucleus DAPI Max (Normalized Counts, Peak Weighting)	Nucleus DAPI Std Dev (Normalized Counts, Peak Weighting)	Nucleus DAPI Total (Normalized Counts, Peak Weighting)	Nucleus Opal 570 Min (Normalized Counts, Peak Weighting)	Nucleus Opal 570 Mean (Normalized Counts, Peak Weighting)	Nucleus Opal 570 Max (Normalized Counts, Peak Weighting)	Nucleus Opal 570 Std Dev (Normalized Counts, Peak Weighting)	Nucleus Opal 570 Total (Normalized Counts, Peak Weighting)	Nucleus Opal 650 Min (Normalized Counts, Peak Weighting)	Nucleus Opal 650 Mean (Normalized Counts, Peak Weighting)	Nucleus Opal 650 Max (Normalized Counts, Peak Weighting)	Nucleus Opal 650 Std Dev (Normalized Counts, Peak Weighting)	Nucleus Opal 650 Total (Normalized Counts, Peak Weighting)	Membrane Area (pixels)	Membrane Area (percent)	Membrane Compactness	Membrane Minor Axis	Membrane Major Axis	Membrane Axis Ratio	Membrane DAPI Min (Normalized Counts, Peak Weighting)	Membrane DAPI Mean (Normalized Counts, Peak Weighting)	Membrane DAPI Max (Normalized Counts, Peak Weighting)	Membrane DAPI Std Dev (Normalized Counts, Peak Weighting)	Membrane DAPI Total (Normalized Counts, Peak Weighting)	Membrane Opal 570 Min (Normalized Counts, Peak Weighting)	Membrane Opal 570 Mean (Normalized Counts, Peak Weighting)	Membrane Opal 570 Max (Normalized Counts, Peak Weighting)	Membrane Opal 570 Std Dev (Normalized Counts, Peak Weighting)	Membrane Opal 570 Total (Normalized Counts, Peak Weighting)	Membrane Opal 650 Min (Normalized Counts, Peak Weighting)	Membrane Opal 650 Mean (Normalized Counts, Peak Weighting)	Membrane Opal 650 Max (Normalized Counts, Peak Weighting)	Membrane Opal 650 Std Dev (Normalized Counts, Peak Weighting)	Membrane Opal 650 Total (Normalized Counts, Peak Weighting)	Entire Cell Area (pixels)	Entire Cell Area (percent)	Entire Cell Compactness	Entire Cell Minor Axis	Entire Cell Major Axis	Entire Cell Axis Ratio	Entire Cell DAPI Min (Normalized Counts, Peak Weighting)	Entire Cell DAPI Mean (Normalized Counts, Peak Weighting)	Entire Cell DAPI Max (Normalized Counts, Peak Weighting)	Entire Cell DAPI Std Dev (Normalized Counts, Peak Weighting)	Entire Cell DAPI Total (Normalized Counts, Peak Weighting)	Entire Cell Opal 570 Min (Normalized Counts, Peak Weighting)	Entire Cell Opal 570 Mean (Normalized Counts, Peak Weighting)	Entire Cell Opal 570 Max (Normalized Counts, Peak Weighting)	Entire Cell Opal 570 Std Dev (Normalized Counts, Peak Weighting)	Entire Cell Opal 570 Total (Normalized Counts, Peak Weighting)	Entire Cell Opal 650 Min (Normalized Counts, Peak Weighting)	Entire Cell Opal 650 Mean (Normalized Counts, Peak Weighting)	Entire Cell Opal 650 Max (Normalized Counts, Peak Weighting)	Entire Cell Opal 650 Std Dev (Normalized Counts, Peak Weighting)	Entire Cell Opal 650 Total (Normalized Counts, Peak Weighting)	Lab ID	Slide ID	TMA Sector	TMA Row	TMA Column	TMA Field	Confidence	inForm 2.4.6626.16804
W:\vectra3\HER profile for patients\completed for analysis\6th set\18SP-07900\Scan1\MSI	18SP-07900_[6828,50921].im3	tumor	others	all	183	13609984	13.45							176395	1.30%					0.295	1.019	3.463	0.272	179759.341	0.026	0.083	0.454	0.025	14715.630	0.003	0.045	0.651	0.029	7918.764	31079	0.23%					0.097	0.408	3.583	0.147	12694.610	0.010	0.090	0.749	0.034	2788.084	0.005	0.054	0.918	0.052	1680.732	207474	1.52%					0.000	0.928	3.583	0.242	192453.950	0.000	0.084	0.749	0.024	17503.714	0.000	0.046	0.918	0.031	9599.496		18SP-07900	0	0	0	0		
W:\vectra3\HER profile for patients\completed for analysis\6th set\18SP-07900\Scan1\MSI	18SP-07900_[6828,50921].im3	tumor	p95M	all	209	13609984	15.36							1591068	11.69%					0.179	1.264	2.829	0.162	2011388.019	0.030	0.331	1.932	0.066	526315.828	0.012	0.129	0.695	0.021	205109.791	81605	0.60%					0.125	0.650	3.599	0.161	53065.889	0.018	0.174	2.145	0.069	14214.734	0.004	0.076	0.833	0.040	6185.345	1672673	12.29%					0.000	1.234	3.599	0.162	2064453.909	0.000	0.323	2.145	0.065	540530.562	0.000	0.126	0.833	0.021	211295.136		18SP-07900	0	0	0	0		
W:\vectra3\HER profile for patients\completed for analysis\6th set\18SP-07900\Scan1\MSI	18SP-07900_[6828,50921].im3	tumor	p95MC	all	2857	13609984	209.92							3365674	24.73%					0.196	1.026	3.186	0.249	3454643.938	0.025	0.267	1.798	0.096	899292.503	0.006	0.127	1.019	0.067	427206.702	510100	3.75%					0.092	0.495	3.583	0.208	252584.873	0.009	0.203	2.960	0.154	103618.817	0.001	0.132	1.059	0.144	67140.806	3875774	28.48%					0.000	0.957	3.583	0.243	3707228.811	0.000	0.259	2.960	0.098	1002911.320	0.000	0.128	1.059	0.076	494347.508		18SP-07900	0	0	0	0		
W:\vectra3\HER profile for patients\completed for analysis\6th set\18SP-07900\Scan1\MSI	18SP-07900_[6828,50921].im3	tumor	WT/d16	all	18	13609984	1.32							15354	0.11%					0.222	0.986	2.245	0.204	15132.781	0.071	0.277	1.322	0.136	4259.402	0.057	0.317	1.088	0.127	4865.719	3098	0.02%					0.113	0.413	1.476	0.114	1280.199	0.042	0.389	2.076	0.159	1206.647	0.031	0.472	1.205	0.134	1462.044	18452	0.14%					0.000	0.889	2.245	0.186	16412.980	0.000	0.296	2.076	0.127	5466.048	0.000	0.343	1.205	0.113	6327.763		18SP-07900	0	0	0	0		
W:\vectra3\HER profile for patients\completed for analysis\6th set\18SP-07900\Scan1\MSI	18SP-07900_[6828,50921].im3	tumor	WT/d16/p95M	all	457	13609984	33.58							563579	4.14%					0.171	0.849	2.198	0.131	478453.101	0.043	0.290	2.269	0.098	163628.842	0.019	0.191	0.871	0.047	107842.518	86941	0.64%					0.096	0.338	2.394	0.071	29427.829	0.024	0.564	2.963	0.183	49075.145	0.011	0.436	1.205	0.104	37879.260	650520	4.78%					0.000	0.781	2.394	0.116	507880.929	0.000	0.327	2.963	0.103	212703.987	0.000	0.224	1.205	0.050	145721.777		18SP-07900	0	0	0	0		
W:\vectra3\HER profile for patients\completed for analysis\6th set\18SP-07900\Scan1\MSI	18SP-07900_[6828,50921].im3	tumor	WT/d16/p95MC	all	5	13609984	0.37							7222	0.05%					0.301	0.784	2.716	0.362	5661.253	0.042	0.213	0.681	0.051	1535.832	0.016	0.136	0.747	0.066	979.161	1140	0.01%					0.121	0.465	2.559	0.095	530.320	0.025	0.148	0.645	0.049	168.564	0.011	0.174	1.161	0.112	198.531	8362	0.06%					0.000	0.740	2.716	0.303	6191.573	0.000	0.204	0.681	0.051	1704.396	0.000	0.141	1.161	0.066	1177.692		18SP-07900	0	0	0	0		
W:\vectra3\HER profile for patients\completed for analysis\6th set\18SP-07900\Scan1\MSI	18SP-07900_[6828,50921].im3	tumor	All	all	3729	13609984	273.99							5719292	42.02%					0.171	1.074	3.463	0.249	6145038.433	0.025	0.281	2.269	0.103	1609748.037	0.003	0.132	1.088	0.070	753922.655	713963	5.25%					0.092	0.490	3.599	0.202	349583.719	0.009	0.240	2.963	0.195	171071.992	0.001	0.160	1.205	0.170	114546.718	6433255	47.27%					0.000	1.010	3.599	0.243	6494622.152	0.000	0.277	2.963	0.107	1780820.029	0.000	0.135	1.205	0.081	868469.373		18SP-07900	0	0	0	0		
W:\vectra3\HER profile for patients\completed for analysis\6th set\18SP-07900\Scan1\MSI	18SP-07900_[6828,50921].im3	other	others	all	269	8055232	33.39							242856	3.01%					0.210	0.779	3.300	0.216	189172.915	0.018	0.056	0.319	0.009	13620.600	0.003	0.030	0.170	0.004	7318.143	44752	0.56%					0.093	0.268	2.527	0.083	11983.670	0.007	0.058	0.348	0.011	2603.934	0.000	0.031	0.237	0.005	1385.061	287608	3.57%					0.000	0.699	3.300	0.182	201156.585	0.000	0.056	0.348	0.009	16224.534	0.000	0.030	0.237	0.004	8703.204		18SP-07900	0	0	0	0		
W:\vectra3\HER profile for patients\completed for analysis\6th set\18SP-07900\Scan1\MSI	18SP-07900_[6828,50921].im3	other	p95M	all	0	8055232	0.0							0	0.00%					0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0	0.00%					0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0	0.00%					0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000		18SP-07900	0	0	0	0		
W:\vectra3\HER profile for patients\completed for analysis\6th set\18SP-07900\Scan1\MSI	18SP-07900_[6828,50921].im3	other	p95MC	all	8	8055232	0.99							6035	0.07%					0.278	0.792	1.787	0.194	4777.402	0.031	0.100	0.322	0.023	603.492	0.007	0.043	0.125	0.010	258.845	1318	0.02%					0.140	0.312	1.361	0.074	411.821	0.018	0.067	0.317	0.011	88.082	0.000	0.032	0.121	0.005	42.810	7353	0.09%					0.000	0.706	1.787	0.178	5189.222	0.000	0.094	0.322	0.020	691.574	0.000	0.041	0.125	0.008	301.655		18SP-07900	0	0	0	0		
