Path	Sample Name	Tissue Category	Phenotype	Cell ID	Total Cells	Tissue Category Area (pixels)	Cell Density (per megapixel)	Cell X Position	Cell Y Position	Process Region ID	Distance from Process Region Edge (pixels)	Category Region ID	Distance from Tissue Category Edge (pixels)	Nucleus Area (pixels)	Nucleus Area (percent)	Nucleus Compactness	Nucleus Minor Axis	Nucleus Major Axis	Nucleus Axis Ratio	Nucleus DAPI Min (Normalized Counts, Peak Weighting)	Nucleus DAPI Mean (Normalized Counts, Peak Weighting)	Nucleus DAPI Max (Normalized Counts, Peak Weighting)	Nucleus DAPI Std Dev (Normalized Counts, Peak Weighting)	Nucleus DAPI Total (Normalized Counts, Peak Weighting)	Nucleus Opal 570 Min (Normalized Counts, Peak Weighting)	Nucleus Opal 570 Mean (Normalized Counts, Peak Weighting)	Nucleus Opal 570 Max (Normalized Counts, Peak Weighting)	Nucleus Opal 570 Std Dev (Normalized Counts, Peak Weighting)	Nucleus Opal 570 Total (Normalized Counts, Peak Weighting)	Nucleus Opal 650 Min (Normalized Counts, Peak Weighting)	Nucleus Opal 650 Mean (Normalized Counts, Peak Weighting)	Nucleus Opal 650 Max (Normalized Counts, Peak Weighting)	Nucleus Opal 650 Std Dev (Normalized Counts, Peak Weighting)	Nucleus Opal 650 Total (Normalized Counts, Peak Weighting)	Membrane Area (pixels)	Membrane Area (percent)	Membrane Compactness	Membrane Minor Axis	Membrane Major Axis	Membrane Axis Ratio	Membrane DAPI Min (Normalized Counts, Peak Weighting)	Membrane DAPI Mean (Normalized Counts, Peak Weighting)	Membrane DAPI Max (Normalized Counts, Peak Weighting)	Membrane DAPI Std Dev (Normalized Counts, Peak Weighting)	Membrane DAPI Total (Normalized Counts, Peak Weighting)	Membrane Opal 570 Min (Normalized Counts, Peak Weighting)	Membrane Opal 570 Mean (Normalized Counts, Peak Weighting)	Membrane Opal 570 Max (Normalized Counts, Peak Weighting)	Membrane Opal 570 Std Dev (Normalized Counts, Peak Weighting)	Membrane Opal 570 Total (Normalized Counts, Peak Weighting)	Membrane Opal 650 Min (Normalized Counts, Peak Weighting)	Membrane Opal 650 Mean (Normalized Counts, Peak Weighting)	Membrane Opal 650 Max (Normalized Counts, Peak Weighting)	Membrane Opal 650 Std Dev (Normalized Counts, Peak Weighting)	Membrane Opal 650 Total (Normalized Counts, Peak Weighting)	Entire Cell Area (pixels)	Entire Cell Area (percent)	Entire Cell Compactness	Entire Cell Minor Axis	Entire Cell Major Axis	Entire Cell Axis Ratio	Entire Cell DAPI Min (Normalized Counts, Peak Weighting)	Entire Cell DAPI Mean (Normalized Counts, Peak Weighting)	Entire Cell DAPI Max (Normalized Counts, Peak Weighting)	Entire Cell DAPI Std Dev (Normalized Counts, Peak Weighting)	Entire Cell DAPI Total (Normalized Counts, Peak Weighting)	Entire Cell Opal 570 Min (Normalized Counts, Peak Weighting)	Entire Cell Opal 570 Mean (Normalized Counts, Peak Weighting)	Entire Cell Opal 570 Max (Normalized Counts, Peak Weighting)	Entire Cell Opal 570 Std Dev (Normalized Counts, Peak Weighting)	Entire Cell Opal 570 Total (Normalized Counts, Peak Weighting)	Entire Cell Opal 650 Min (Normalized Counts, Peak Weighting)	Entire Cell Opal 650 Mean (Normalized Counts, Peak Weighting)	Entire Cell Opal 650 Max (Normalized Counts, Peak Weighting)	Entire Cell Opal 650 Std Dev (Normalized Counts, Peak Weighting)	Entire Cell Opal 650 Total (Normalized Counts, Peak Weighting)	Lab ID	Slide ID	TMA Sector	TMA Row	TMA Column	TMA Field	Confidence	inForm 2.4.6626.16804
W:\vectra3\HER profile for patients\completed for analysis\6th set\18SP-07900\Scan1\MSI	18SP-07900_[6828,49921].im3	tumor	others	all	284	15823040	17.95							281252	1.78%					0.225	0.947	4.495	0.297	266352.558	0.018	0.071	0.346	0.018	20070.894	0.009	0.043	0.410	0.014	12069.228	48130	0.82%					0.090	0.364	3.350	0.134	17542.021	0.012	0.074	0.846	0.027	3582.407	0.005	0.047	0.956	0.031	2271.468	329382	2.60%					0.000	0.862	4.495	0.258	283894.579	0.000	0.072	0.846	0.018	23653.301	0.000	0.044	0.956	0.016	14340.696		18SP-07900	0	0	0	0		
W:\vectra3\HER profile for patients\completed for analysis\6th set\18SP-07900\Scan1\MSI	18SP-07900_[6828,49921].im3	tumor	p95M	all	60	15823040	3.79							285896	1.81%					0.306	0.974	2.608	0.148	278581.502	0.029	0.212	2.011	0.060	60514.653	0.005	0.103	0.567	0.027	29513.356	19432	0.12%					0.121	0.442	3.536	0.141	8584.401	0.023	0.125	1.375	0.108	2427.915	0.012	0.081	0.932	0.091	1570.561	305328	1.93%					0.000	0.941	3.536	0.141	287165.903	0.000	0.206	2.011	0.059	62942.568	0.000	0.102	0.932	0.030	31083.917		18SP-07900	0	0	0	0		
W:\vectra3\HER profile for patients\completed for analysis\6th set\18SP-07900\Scan1\MSI	18SP-07900_[6828,49921].im3	tumor	p95MC	all	3047	15823040	192.57							3168655	20.03%					0.159	0.753	3.345	0.193	2386049.008	0.026	0.251	1.794	0.100	796023.301	0.011	0.191	1.048	0.098	606104.265	522156	3.30%					0.088	0.337	2.739	0.111	175924.833	0.012	0.325	2.357	0.175	169443.235	0.003	0.301	1.172	0.181	157298.336	3690811	23.33%					0.000	0.694	3.345	0.177	2561973.840	0.000	0.262	2.357	0.105	965466.536	0.000	0.207	1.172	0.108	763402.601		18SP-07900	0	0	0	0		
W:\vectra3\HER profile for patients\completed for analysis\6th set\18SP-07900\Scan1\MSI	18SP-07900_[6828,49921].im3	tumor	WT/d16	all	37	15823040	2.34							30025	0.19%					0.193	0.924	2.515	0.239	27749.781	0.071	0.227	1.059	0.065	6801.776	0.069	0.342	1.236	0.091	10265.095	6070	0.04%					0.113	0.376	2.142	0.092	2280.940	0.037	0.320	1.101	0.095	1941.378	0.035	0.514	1.369	0.098	3118.439	36095	0.23%					0.000	0.832	2.515	0.199	30030.721	0.000	0.242	1.101	0.064	8743.154	0.000	0.371	1.369	0.077	13383.534		18SP-07900	0	0	0	0		
W:\vectra3\HER profile for patients\completed for analysis\6th set\18SP-07900\Scan1\MSI	18SP-07900_[6828,49921].im3	tumor	WT/d16/p95M	all	1252	15823040	79.125							1342579	8.48%					0.188	0.756	2.152	0.122	1014336.806	0.035	0.263	2.698	0.076	352984.956	0.013	0.207	1.113	0.053	277936.419	218764	1.38%					0.095	0.317	2.431	0.070	69413.863	0.018	0.490	2.990	0.123	107100.556	0.011	0.433	1.133	0.096	94756.259	1561343	9.87%					0.000	0.694	2.431	0.108	1083750.668	0.000	0.295	2.990	0.077	460085.512	0.000	0.239	1.133	0.054	372692.678		18SP-07900	0	0	0	0		
W:\vectra3\HER profile for patients\completed for analysis\6th set\18SP-07900\Scan1\MSI	18SP-07900_[6828,49921].im3	tumor	WT/d16/p95MC	all	193	15823040	12.20							258989	1.64%					0.248	0.899	3.053	0.221	232919.899	0.034	0.213	1.178	0.059	55290.196	0.013	0.211	1.109	0.100	54535.604	38933	0.25%					0.103	0.371	2.777	0.113	14430.347	0.018	0.297	1.553	0.124	11545.946	0.007	0.383	1.324	0.173	14920.280	297922	1.88%					0.000	0.830	3.053	0.197	247350.247	0.000	0.224	1.553	0.058	66836.141	0.000	0.233	1.324	0.104	69455.884		18SP-07900	0	0	0	0		
W:\vectra3\HER profile for patients\completed for analysis\6th set\18SP-07900\Scan1\MSI	18SP-07900_[6828,49921].im3	tumor	All	all	4873	15823040	307.97							5367396	33.92%					0.159	0.784	4.495	0.198	4205989.554	0.018	0.241	2.698	0.100	1291685.776	0.005	0.185	1.236	0.094	990423.967	853485	5.39%					0.088	0.338	3.536	0.106	288176.405	0.012	0.347	2.990	0.185	296041.437	0.003	0.321	1.369	0.182	273935.344	6220881	39.32%					0.000	0.722	4.495	0.179	4494165.958	0.000	0.255	2.990	0.106	1587727.214	0.000	0.203	1.369	0.104	1264359.311		18SP-07900	0	0	0	0		
W:\vectra3\HER profile for patients\completed for analysis\6th set\18SP-07900\Scan1\MSI	18SP-07900_[6828,49921].im3	other	others	all	292	5842176	49.98							271877	4.65%					0.208	0.713	3.128	0.238	193826.489	0.018	0.055	0.362	0.009	15055.188	0.005	0.033	0.300	0.005	8946.528	48370	0.31%					0.084	0.256	3.541	0.075	12365.250	0.010	0.056	0.446	0.010	2725.177	0.003	0.033	0.346	0.006	1612.616	320247	4.96%					0.000	0.644	3.541	0.200	206191.738	0.000	0.056	0.446	0.008	17780.366	0.000	0.033	0.346	0.005	10559.144		18SP-07900	0	0	0	0		
W:\vectra3\HER profile for patients\completed for analysis\6th set\18SP-07900\Scan1\MSI	18SP-07900_[6828,49921].im3	other	p95M	all	0	5842176	0.0							0	0.00%					0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0	0.00%					0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0	0.00%					0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000		18SP-07900	0	0	0	0		
W:\vectra3\HER profile for patients\completed for analysis\6th set\18SP-07900\Scan1\MSI	18SP-07900_[6828,49921].im3	other	p95MC	all	13	5842176	2.23							11293	0.19%					0.209	0.467	1.079	0.075	5279.030	0.020	0.076	0.325	0.020	852.697	0.014	0.043	0.299	0.008	489.918	2113	0.04%					0.118	0.241	1.333	0.044	509.240	0.014	0.067	0.675	0.018	140.532	0.009	0.037	0.235	0.005	77.193	13406	0.23%					0.000	0.432	1.333	0.062	5788.270	0.000	0.074	0.675	0.017	993.230	0.000	0.042	0.299	0.007	567.110		18SP-07900	0	0	0	0		
