Path	Sample Name	Tissue Category	Phenotype	Cell ID	Total Cells	Tissue Category Area (pixels)	Cell Density (per megapixel)	Cell X Position	Cell Y Position	Process Region ID	Distance from Process Region Edge (pixels)	Category Region ID	Distance from Tissue Category Edge (pixels)	Nucleus Area (pixels)	Nucleus Area (percent)	Nucleus Compactness	Nucleus Minor Axis	Nucleus Major Axis	Nucleus Axis Ratio	Nucleus DAPI Min (Normalized Counts, Peak Weighting)	Nucleus DAPI Mean (Normalized Counts, Peak Weighting)	Nucleus DAPI Max (Normalized Counts, Peak Weighting)	Nucleus DAPI Std Dev (Normalized Counts, Peak Weighting)	Nucleus DAPI Total (Normalized Counts, Peak Weighting)	Nucleus Opal 570 Min (Normalized Counts, Peak Weighting)	Nucleus Opal 570 Mean (Normalized Counts, Peak Weighting)	Nucleus Opal 570 Max (Normalized Counts, Peak Weighting)	Nucleus Opal 570 Std Dev (Normalized Counts, Peak Weighting)	Nucleus Opal 570 Total (Normalized Counts, Peak Weighting)	Nucleus Opal 650 Min (Normalized Counts, Peak Weighting)	Nucleus Opal 650 Mean (Normalized Counts, Peak Weighting)	Nucleus Opal 650 Max (Normalized Counts, Peak Weighting)	Nucleus Opal 650 Std Dev (Normalized Counts, Peak Weighting)	Nucleus Opal 650 Total (Normalized Counts, Peak Weighting)	Membrane Area (pixels)	Membrane Area (percent)	Membrane Compactness	Membrane Minor Axis	Membrane Major Axis	Membrane Axis Ratio	Membrane DAPI Min (Normalized Counts, Peak Weighting)	Membrane DAPI Mean (Normalized Counts, Peak Weighting)	Membrane DAPI Max (Normalized Counts, Peak Weighting)	Membrane DAPI Std Dev (Normalized Counts, Peak Weighting)	Membrane DAPI Total (Normalized Counts, Peak Weighting)	Membrane Opal 570 Min (Normalized Counts, Peak Weighting)	Membrane Opal 570 Mean (Normalized Counts, Peak Weighting)	Membrane Opal 570 Max (Normalized Counts, Peak Weighting)	Membrane Opal 570 Std Dev (Normalized Counts, Peak Weighting)	Membrane Opal 570 Total (Normalized Counts, Peak Weighting)	Membrane Opal 650 Min (Normalized Counts, Peak Weighting)	Membrane Opal 650 Mean (Normalized Counts, Peak Weighting)	Membrane Opal 650 Max (Normalized Counts, Peak Weighting)	Membrane Opal 650 Std Dev (Normalized Counts, Peak Weighting)	Membrane Opal 650 Total (Normalized Counts, Peak Weighting)	Entire Cell Area (pixels)	Entire Cell Area (percent)	Entire Cell Compactness	Entire Cell Minor Axis	Entire Cell Major Axis	Entire Cell Axis Ratio	Entire Cell DAPI Min (Normalized Counts, Peak Weighting)	Entire Cell DAPI Mean (Normalized Counts, Peak Weighting)	Entire Cell DAPI Max (Normalized Counts, Peak Weighting)	Entire Cell DAPI Std Dev (Normalized Counts, Peak Weighting)	Entire Cell DAPI Total (Normalized Counts, Peak Weighting)	Entire Cell Opal 570 Min (Normalized Counts, Peak Weighting)	Entire Cell Opal 570 Mean (Normalized Counts, Peak Weighting)	Entire Cell Opal 570 Max (Normalized Counts, Peak Weighting)	Entire Cell Opal 570 Std Dev (Normalized Counts, Peak Weighting)	Entire Cell Opal 570 Total (Normalized Counts, Peak Weighting)	Entire Cell Opal 650 Min (Normalized Counts, Peak Weighting)	Entire Cell Opal 650 Mean (Normalized Counts, Peak Weighting)	Entire Cell Opal 650 Max (Normalized Counts, Peak Weighting)	Entire Cell Opal 650 Std Dev (Normalized Counts, Peak Weighting)	Entire Cell Opal 650 Total (Normalized Counts, Peak Weighting)	Lab ID	Slide ID	TMA Sector	TMA Row	TMA Column	TMA Field	Confidence	inForm 2.4.6626.16804
W:\vectra3\HER profile for patients\completed for analysis\6th set\18SP-07900\Scan1\MSI	18SP-07900_[5490,51921].im3	tumor	others	all	351	17974848	19.53							352143	1.96%					0.262	0.992	3.871	0.284	349177.719	0.027	0.083	0.784	0.027	29237.599	0.007	0.064	0.895	0.060	22523.596	59620	0.33%					0.103	0.378	2.821	0.133	22537.784	0.015	0.102	2.493	0.050	6107.541	0.010	0.096	1.006	0.098	5699.542	411763	2.29%					0.000	0.903	3.871	0.250	371715.504	0.000	0.086	2.493	0.028	35345.139	0.000	0.069	1.006	0.065	28223.138		18SP-07900	0	0	0	0		
W:\vectra3\HER profile for patients\completed for analysis\6th set\18SP-07900\Scan1\MSI	18SP-07900_[5490,51921].im3	tumor	p95M	all	61	17974848	3.39							175162	0.97%					0.359	1.048	2.595	0.216	183614.455	0.025	0.197	1.224	0.056	34460.397	0.011	0.108	0.723	0.033	18922.771	16110	0.09%					0.124	0.474	3.909	0.143	7630.008	0.020	0.216	1.238	0.125	3473.699	0.011	0.160	0.984	0.118	2579.144	191272	1.06%					0.000	1.000	3.909	0.200	191244.463	0.000	0.198	1.238	0.050	37934.096	0.000	0.112	0.984	0.037	21501.915		18SP-07900	0	0	0	0		
W:\vectra3\HER profile for patients\completed for analysis\6th set\18SP-07900\Scan1\MSI	18SP-07900_[5490,51921].im3	tumor	p95MC	all	4543	17974848	252.74							4721969	26.27%					0.171	0.868	3.177	0.185	4099701.098	0.024	0.222	1.491	0.077	1047316.966	0.010	0.169	1.012	0.083	797715.328	774933	4.31%					0.100	0.386	3.118	0.114	299218.761	0.017	0.285	2.598	0.125	220946.108	0.003	0.271	1.121	0.145	210335.042	5496902	30.58%					0.000	0.800	3.177	0.170	4398919.859	0.000	0.231	2.598	0.077	1268263.074	0.000	0.183	1.121	0.089	1008050.370		18SP-07900	0	0	0	0		
W:\vectra3\HER profile for patients\completed for analysis\6th set\18SP-07900\Scan1\MSI	18SP-07900_[5490,51921].im3	tumor	WT/d16	all	6	17974848	0.33							4303	0.02%					0.383	0.912	1.542	0.145	3926.031	0.075	0.227	0.627	0.047	978.405	0.059	0.343	1.158	0.087	1475.902	848	0.00%					0.105	0.425	1.169	0.064	359.994	0.023	0.244	0.673	0.097	207.276	0.032	0.498	1.581	0.130	421.953	5151	0.03%					0.000	0.832	1.542	0.125	4286.025	0.000	0.230	0.673	0.034	1185.682	0.000	0.368	1.581	0.078	1897.855		18SP-07900	0	0	0	0		
W:\vectra3\HER profile for patients\completed for analysis\6th set\18SP-07900\Scan1\MSI	18SP-07900_[5490,51921].im3	tumor	WT/d16/p95M	all	505	17974848	28.09							494327	2.75%					0.193	0.878	2.224	0.150	433846.165	0.036	0.235	2.484	0.076	116010.478	0.009	0.176	0.943	0.055	87169.310	85117	0.47%					0.114	0.373	2.685	0.088	31745.304	0.026	0.403	2.731	0.111	34304.426	0.000	0.358	1.202	0.098	30483.780	579444	3.22%					0.000	0.804	2.685	0.132	465591.468	0.000	0.259	2.731	0.076	150314.904	0.000	0.203	1.202	0.057	117653.090		18SP-07900	0	0	0	0		
W:\vectra3\HER profile for patients\completed for analysis\6th set\18SP-07900\Scan1\MSI	18SP-07900_[5490,51921].im3	tumor	WT/d16/p95MC	all	105	17974848	5.841							126179	0.70%					0.132	1.031	2.810	0.242	130144.202	0.043	0.173	0.817	0.040	21781.724	0.036	0.239	0.905	0.073	30191.809	20700	0.12%					0.105	0.412	3.036	0.099	8518.371	0.024	0.225	0.914	0.059	4650.725	0.023	0.386	1.102	0.094	7986.868	146879	0.82%					0.000	0.944	3.036	0.210	138662.573	0.000	0.180	0.914	0.040	26432.449	0.000	0.260	1.102	0.070	38178.677		18SP-07900	0	0	0	0		
W:\vectra3\HER profile for patients\completed for analysis\6th set\18SP-07900\Scan1\MSI	18SP-07900_[5490,51921].im3	tumor	All	all	5571	17974848	309.93							5874083	32.68%					0.132	0.885	3.871	0.197	5200409.671	0.024	0.213	2.484	0.082	1249785.569	0.007	0.163	1.158	0.084	957998.716	957328	5.33%					0.100	0.387	3.909	0.114	370010.222	0.015	0.282	2.731	0.134	269689.775	0.000	0.269	1.581	0.148	257506.328	6831411	38.01%					0.000	0.815	3.909	0.178	5570419.893	0.000	0.222	2.731	0.084	1519475.344	0.000	0.178	1.581	0.091	1215505.044		18SP-07900	0	0	0	0		
W:\vectra3\HER profile for patients\completed for analysis\6th set\18SP-07900\Scan1\MSI	18SP-07900_[5490,51921].im3	other	others	all	227	3690368	61.51							219739	5.95%					0.224	0.774	2.958	0.238	170142.234	0.020	0.056	0.435	0.009	12244.448	0.004	0.032	0.219	0.005	7062.952	37833	1.03%					0.118	0.287	2.472	0.068	10846.248	0.015	0.059	1.525	0.016	2232.708	0.005	0.034	0.554	0.008	1274.265	257572	6.98%					0.000	0.703	2.958	0.201	180988.482	0.000	0.056	1.525	0.009	14477.156	0.000	0.032	0.554	0.005	8337.217		18SP-07900	0	0	0	0		
W:\vectra3\HER profile for patients\completed for analysis\6th set\18SP-07900\Scan1\MSI	18SP-07900_[5490,51921].im3	other	p95M	all	0	3690368	0.0							0	0.00%					0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0	0.00%					0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0	0.00%					0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000		18SP-07900	0	0	0	0		
W:\vectra3\HER profile for patients\completed for analysis\6th set\18SP-07900\Scan1\MSI	18SP-07900_[5490,51921].im3	other	p95MC	all	7	3690368	1.9							5845	0.16%					0.301	0.621	1.550	0.162	3631.114	0.038	0.094	0.566	0.023	547.109	0.018	0.046	0.199	0.007	267.348	1124	0.01%					0.130	0.289	0.897	0.081	324.356	0.029	0.079	0.543	0.028	88.711	0.012	0.040	0.172	0.010	45.457	6969	0.16%					0.000	0.568	1.550	0.133	3955.471	0.000	0.091	0.566	0.020	635.820	0.000	0.045	0.199	0.006	312.805		18SP-07900	0	0	0	0		
