Path	Sample Name	Tissue Category	Phenotype	Cell ID	Total Cells	Tissue Category Area (pixels)	Cell Density (per megapixel)	Cell X Position	Cell Y Position	Process Region ID	Distance from Process Region Edge (pixels)	Category Region ID	Distance from Tissue Category Edge (pixels)	Nucleus Area (pixels)	Nucleus Area (percent)	Nucleus Compactness	Nucleus Minor Axis	Nucleus Major Axis	Nucleus Axis Ratio	Nucleus DAPI Min (Normalized Counts, Peak Weighting)	Nucleus DAPI Mean (Normalized Counts, Peak Weighting)	Nucleus DAPI Max (Normalized Counts, Peak Weighting)	Nucleus DAPI Std Dev (Normalized Counts, Peak Weighting)	Nucleus DAPI Total (Normalized Counts, Peak Weighting)	Nucleus Opal 570 Min (Normalized Counts, Peak Weighting)	Nucleus Opal 570 Mean (Normalized Counts, Peak Weighting)	Nucleus Opal 570 Max (Normalized Counts, Peak Weighting)	Nucleus Opal 570 Std Dev (Normalized Counts, Peak Weighting)	Nucleus Opal 570 Total (Normalized Counts, Peak Weighting)	Nucleus Opal 650 Min (Normalized Counts, Peak Weighting)	Nucleus Opal 650 Mean (Normalized Counts, Peak Weighting)	Nucleus Opal 650 Max (Normalized Counts, Peak Weighting)	Nucleus Opal 650 Std Dev (Normalized Counts, Peak Weighting)	Nucleus Opal 650 Total (Normalized Counts, Peak Weighting)	Membrane Area (pixels)	Membrane Area (percent)	Membrane Compactness	Membrane Minor Axis	Membrane Major Axis	Membrane Axis Ratio	Membrane DAPI Min (Normalized Counts, Peak Weighting)	Membrane DAPI Mean (Normalized Counts, Peak Weighting)	Membrane DAPI Max (Normalized Counts, Peak Weighting)	Membrane DAPI Std Dev (Normalized Counts, Peak Weighting)	Membrane DAPI Total (Normalized Counts, Peak Weighting)	Membrane Opal 570 Min (Normalized Counts, Peak Weighting)	Membrane Opal 570 Mean (Normalized Counts, Peak Weighting)	Membrane Opal 570 Max (Normalized Counts, Peak Weighting)	Membrane Opal 570 Std Dev (Normalized Counts, Peak Weighting)	Membrane Opal 570 Total (Normalized Counts, Peak Weighting)	Membrane Opal 650 Min (Normalized Counts, Peak Weighting)	Membrane Opal 650 Mean (Normalized Counts, Peak Weighting)	Membrane Opal 650 Max (Normalized Counts, Peak Weighting)	Membrane Opal 650 Std Dev (Normalized Counts, Peak Weighting)	Membrane Opal 650 Total (Normalized Counts, Peak Weighting)	Entire Cell Area (pixels)	Entire Cell Area (percent)	Entire Cell Compactness	Entire Cell Minor Axis	Entire Cell Major Axis	Entire Cell Axis Ratio	Entire Cell DAPI Min (Normalized Counts, Peak Weighting)	Entire Cell DAPI Mean (Normalized Counts, Peak Weighting)	Entire Cell DAPI Max (Normalized Counts, Peak Weighting)	Entire Cell DAPI Std Dev (Normalized Counts, Peak Weighting)	Entire Cell DAPI Total (Normalized Counts, Peak Weighting)	Entire Cell Opal 570 Min (Normalized Counts, Peak Weighting)	Entire Cell Opal 570 Mean (Normalized Counts, Peak Weighting)	Entire Cell Opal 570 Max (Normalized Counts, Peak Weighting)	Entire Cell Opal 570 Std Dev (Normalized Counts, Peak Weighting)	Entire Cell Opal 570 Total (Normalized Counts, Peak Weighting)	Entire Cell Opal 650 Min (Normalized Counts, Peak Weighting)	Entire Cell Opal 650 Mean (Normalized Counts, Peak Weighting)	Entire Cell Opal 650 Max (Normalized Counts, Peak Weighting)	Entire Cell Opal 650 Std Dev (Normalized Counts, Peak Weighting)	Entire Cell Opal 650 Total (Normalized Counts, Peak Weighting)	Lab ID	Slide ID	TMA Sector	TMA Row	TMA Column	TMA Field	Confidence	inForm 2.4.6626.16804
W:\vectra3\HER profile for patients\completed for analysis\6th set\18SP-07900\Scan1\MSI	18SP-07900_[14434,60571].im3	tumor	others	all	444	15001728	29.60							490843	3.27%					0.246	0.843	2.500	0.244	413674.903	0.024	0.070	0.434	0.029	34517.817	0.012	0.079	1.142	0.137	38698.059	78669	1.18%					0.100	0.373	2.177	0.145	29326.936	0.020	0.081	1.169	0.040	6340.470	0.013	0.105	1.331	0.164	8241.375	569512	4.45%					0.000	0.778	2.500	0.221	443001.839	0.000	0.072	1.169	0.029	40858.287	0.000	0.082	1.331	0.140	46939.434		18SP-07900	0	0	0	0		
W:\vectra3\HER profile for patients\completed for analysis\6th set\18SP-07900\Scan1\MSI	18SP-07900_[14434,60571].im3	tumor	p95M	all	3	15001728	0.20							10694	0.07%					0.365	0.763	1.516	0.199	8162.597	0.031	0.130	0.269	0.036	1391.670	0.015	0.067	0.133	0.016	719.329	811	0.01%					0.127	0.412	1.274	0.194	334.167	0.019	0.072	0.214	0.011	58.753	0.012	0.043	0.107	0.006	34.805	11505	0.08%					0.000	0.739	1.516	0.195	8496.764	0.000	0.126	0.269	0.035	1450.423	0.000	0.066	0.133	0.015	754.134		18SP-07900	0	0	0	0		
W:\vectra3\HER profile for patients\completed for analysis\6th set\18SP-07900\Scan1\MSI	18SP-07900_[14434,60571].im3	tumor	p95MC	all	4056	15001728	270.37							4122069	27.48%					0.141	0.606	2.128	0.143	2498611.755	0.030	0.383	2.142	0.144	1577248.165	0.015	0.298	1.139	0.106	1227965.395	699239	4.66%					0.087	0.306	2.298	0.084	214269.749	0.013	0.494	2.165	0.184	345346.661	0.012	0.415	1.231	0.138	290341.988	4821308	32.14%					0.000	0.563	2.298	0.129	2712881.504	0.000	0.399	2.165	0.147	1922594.826	0.000	0.315	1.231	0.109	1518307.383		18SP-07900	0	0	0	0		
W:\vectra3\HER profile for patients\completed for analysis\6th set\18SP-07900\Scan1\MSI	18SP-07900_[14434,60571].im3	tumor	WT/d16	all	8	15001728	0.53							6809	0.05%					0.322	0.787	1.914	0.304	5360.982	0.083	0.194	0.557	0.028	1322.234	0.119	0.806	1.257	0.119	5485.136	1518	0.01%					0.151	0.369	1.655	0.083	560.672	0.044	0.175	0.394	0.023	265.083	0.067	0.777	1.201	0.158	1180.061	8327	0.06%					0.000	0.711	1.914	0.256	5921.654	0.000	0.191	0.557	0.026	1587.317	0.000	0.800	1.257	0.118	6665.197		18SP-07900	0	0	0	0		
W:\vectra3\HER profile for patients\completed for analysis\6th set\18SP-07900\Scan1\MSI	18SP-07900_[14434,60571].im3	tumor	WT/d16/p95M	all	140	15001728	9.332							161688	1.08%					0.187	0.622	1.734	0.124	100570.592	0.058	0.405	1.947	0.125	65552.748	0.035	0.237	0.927	0.068	38243.063	25404	0.17%					0.093	0.309	1.695	0.067	7861.915	0.037	0.661	2.133	0.232	16788.892	0.025	0.389	1.013	0.107	9872.494	187092	1.25%					0.000	0.580	1.734	0.110	108432.507	0.000	0.440	2.133	0.134	82341.640	0.000	0.257	1.013	0.070	48115.557		18SP-07900	0	0	0	0		
W:\vectra3\HER profile for patients\completed for analysis\6th set\18SP-07900\Scan1\MSI	18SP-07900_[14434,60571].im3	tumor	All	all	4651	15001728	310.03							4792103	31.94%					0.141	0.632	2.500	0.172	3026380.829	0.024	0.351	2.142	0.166	1680032.634	0.012	0.274	1.257	0.128	1311110.982	805641	5.37%					0.087	0.313	2.298	0.093	252353.440	0.013	0.458	2.165	0.219	368799.860	0.012	0.384	1.331	0.169	309670.723	5597744	37.31%					0.000	0.586	2.500	0.155	3278734.269	0.000	0.366	2.165	0.170	2048832.494	0.000	0.290	1.331	0.132	1620781.706		18SP-07900	0	0	0	0		
W:\vectra3\HER profile for patients\completed for analysis\6th set\18SP-07900\Scan1\MSI	18SP-07900_[14434,60571].im3	other	others	all	301	6663488	45.17							295771	4.44%					0.136	0.602	2.153	0.210	178176.442	0.022	0.055	0.303	0.010	16242.095	0.007	0.038	0.855	0.037	11302.270	51474	0.77%					0.101	0.262	2.216	0.079	13500.478	0.016	0.055	0.534	0.012	2837.615	0.009	0.038	0.870	0.034	1969.898	347245	5.21%					0.000	0.552	2.216	0.180	191676.919	0.000	0.055	0.534	0.009	19079.710	0.000	0.038	0.870	0.037	13272.168		18SP-07900	0	0	0	0		
W:\vectra3\HER profile for patients\completed for analysis\6th set\18SP-07900\Scan1\MSI	18SP-07900_[14434,60571].im3	other	p95M	all	0	6663488	0.0							0	0.00%					0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0	0.00%					0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0	0.00%					0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000		18SP-07900	0	0	0	0		
W:\vectra3\HER profile for patients\completed for analysis\6th set\18SP-07900\Scan1\MSI	18SP-07900_[14434,60571].im3	other	p95MC	all	49	6663488	7.35							46372	0.70%					0.209	0.566	2.698	0.192	26237.274	0.033	0.087	0.658	0.019	4014.997	0.015	0.048	0.291	0.009	2226.385	8442	0.13%					0.095	0.233	1.158	0.046	1967.644	0.014	0.078	0.908	0.029	658.194	0.008	0.044	0.492	0.010	369.306	54814	0.82%					0.000	0.515	2.698	0.160	28204.918	0.000	0.085	0.908	0.016	4673.191	0.000	0.047	0.492	0.008	2595.692		18SP-07900	0	0	0	0		
W:\vectra3\HER profile for patients\completed for analysis\6th set\18SP-07900\Scan1\MSI	18SP-07900_[14434,60571].im3	other	WT/d16	all	0	6663488	0.0							0	0.00%					0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0	0.00%					0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0	0.00%					0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000		18SP-07900	0	0	0	0		
